German,English,German Sentence,Cloze Sentence,English Sentence,Image,Vocab Audio,Sentence Audio
Italien,Italy,Italien ist berühmt für Pizza und Pasta.,Italien ist berühmt für Pizza und Pasta.,__ ist berühmt für Pizza und Pasta.,,media/azure-069aad6f-3ac15fe6-de8e9454-e4406387-f2cd9561.mp3,media/azure-8bae0583-4684c534-83c4adb2-27b0274d-e914bcfb.mp3
Griechenland,Greece,Griechenland hat viele antike Ruinen.,Griechenland hat viele antike Ruinen.,__ hat viele antike Ruinen.,,media/azure-4f593cde-a878e18b-0008bdc0-c778de75-1e02bb2a.mp3,media/azure-e07519d7-21dca340-caea4024-b0955768-7ef308fc.mp3
Russland,Russia,Russland ist das größte Land der Welt.,Russland ist das größte Land der Welt.,__ ist das größte Land der Welt.,,media/azure-6dadff75-e7533afb-daf28d66-45652c21-fa8d4d63.mp3,media/azure-38a9cfa5-699f7c9c-a5b9257b-9e9cec4e-0d1680ba.mp3
Afghanistan,Afghanistan,Afghanistan liegt in Südasien.,Afghanistan liegt in Südasien.,__ liegt in Südasien.,,media/azure-f3568c40-d4789370-fd1ee616-902bfe16-01026d24.mp3,media/azure-2359aa56-0cad1ad7-097239dc-e1219f96-93a03b88.mp3
der Irak,Iraq,Der Irak hat eine komplexe Geschichte.,Der Irak hat eine komplexe Geschichte.,__ hat eine komplexe Geschichte.,,media/azure-e0dc8ea6-aa10776b-e1df525a-c4c5a1ba-3553df25.mp3,media/azure-d1178d3c-6cb37315-1dcac75d-5fbf2182-925068f3.mp3
Eritrea,Eritrea,Eritrea hat eine lange Küstenlinie.,Eritrea hat eine lange Küstenlinie.,__ hat eine lange Küstenlinie.,,media/azure-e185bbfc-fbf828ef-dc9efa04-8056e981-c2ef4c28.mp3,media/azure-0ac2b4d7-7552ddf3-be02fabe-3770d1ea-325621dc.mp3
die Ukraine,Ukraine,Die Ukraine hat eine interessante Kultur.,Die Ukraine hat eine interessante Kultur.,__ hat eine interessante Kultur.,,media/azure-5941ce90-b1afb3ff-0ffe7671-ca12b897-84db5507.mp3,media/azure-5982edb4-d6351660-d6b96d13-c5f57c1e-286e62a2.mp3
der Iran,Iran,Der Iran hat viele historische Stätten.,Der Iran hat viele historische Stätten.,__ hat viele historische Stätten.,,media/azure-9d7f0503-3e6cefb8-2552e320-db9197e2-ff5722d8.mp3,media/azure-1d982412-f450114b-eee68efd-1a8bb1ff-eed74bc0.mp3
du / Sie,you (informal / formal),Du bist sehr freundlich.,Du bist sehr freundlich.,__ bist sehr freundlich.,,media/azure-22fb4330-7408d93c-16b51b9b-16370044-b392589d.mp3,media/azure-6959d9c7-5e99c00b-cbecf753-c93a47cf-4c56f5f0.mp3
gut,good,Der Film war wirklich gut.,Der Film war wirklich gut.,Der Film war wirklich __.,,media/azure-cdb917c0-1489261b-7a1c2884-4a6bad70-d6baf557.mp3,media/azure-9561ac8e-036c1808-50798ddc-7776b52e-f651cfa4.mp3
sehr gut,very good,Das Essen schmeckt sehr gut.,Das Essen schmeckt sehr gut.,Das Essen schmeckt __.,,media/azure-dabe8abf-737b4dc3-5a67438a-c5cf3126-bf220f66.mp3,media/azure-80f4f286-3cdce492-cee1e412-6235c055-aa9baa7a.mp3
schlecht,bad,Das Wetter ist heute schlecht.,Das Wetter ist heute schlecht.,Das Wetter ist heute __.,,media/azure-93b52787-21e939a3-c8209d9b-12d08f52-2a039625.mp3,media/azure-a568a840-14c8f40b-979936f9-add12490-97291426.mp3
super,great,Die Party war super.,Die Party war super.,Die Party war __.,,media/azure-ee3e9205-803e71e8-a777bdb7-9d9efcdd-d9ca9d7c.mp3,media/azure-363cf099-d4205678-6cae0aaa-4f45aee7-b15cb5fb.mp3
es geht,it&#x27;s okay,Wie geht's dir?,Wie geht's dir?,Wie __ dir?,,media/azure-1f197eed-fd94e88c-24b85ab4-9887b233-6c23d217.mp3,media/azure-d9dc2121-8f72dc16-b23d9265-cd20472a-b11bcd12.mp3
nicht so gut,not so good,Mir geht&#x27;s nicht so gut.,Mir geht&#x27;s nicht so gut.,Mir geht&#x27;s __.,,media/azure-bd5b5459-050d3ce3-522ff0c4-0e8d904e-88a223a4.mp3,media/azure-b46bbebd-5a0e1ad9-3076a536-10afc2eb-0e0fde8f.mp3
auch,also,Ich komme auch.,Ich komme auch.,Ich komme __.,,media/azure-0ee0abbb-0346c9e2-fc98c032-04897ff5-35b3269a.mp3,media/azure-e65c630e-939c654c-a5af47e5-a47e041b-fc435041.mp3
danke,thank you,Danke für deine Hilfe.,Danke für deine Hilfe.,__ für deine Hilfe.,,media/azure-769a71cc-1d7c24c4-4cc016b6-c4e8c25c-fd7f1b62.mp3,media/azure-91cb69e0-e48806de-e8217779-eb2d3a9b-16b060ce.mp3
"die Sprache, die Sprachen","language, languages",Ich spreche viele Sprachen.,Ich spreche viele Sprachen.,Ich spreche viele __.,,media/azure-59f9353f-874f780e-26445254-6f03479d-0cc1ba5a.mp3,media/azure-a96d1018-136950c5-d04338ba-0a3ec7d8-24620647.mp3
sprechen,to speak,Wir sprechen Deutsch.,Wir sprechen Deutsch.,Wir __ Deutsch.,,media/azure-16774577-3b360ce9-cdea377f-61443fef-0b9e992b.mp3,media/azure-fa0e2da7-2f14f275-5927b52e-d93a2303-8ba3dd4f.mp3
Deutsch,German,Ich lerne Deutsch.,Ich lerne Deutsch.,Ich lerne __.,,media/azure-572794e3-f1e79bec-f71a252f-e07c4c0f-c54a7ac8.mp3,media/azure-54659df7-c4ef8cb1-3eedb12b-f8de9d73-f9089d01.mp3
Türkisch,Turkish,Sie spricht Türkisch.,Sie spricht Türkisch.,Sie spricht __.,,media/azure-e025d23b-36b8c82f-213f2e98-625092b0-ba19db62.mp3,media/azure-a3bb468b-4ffdf2e6-42c596d6-c1b15278-402dc126.mp3
Englisch,English,Wir lernen Englisch.,Wir lernen Englisch.,Wir lernen __.,,media/azure-8c17d0ee-3bd93818-11b270da-c4996618-697557ff.mp3,media/azure-5c12ad52-8dcc9ae4-d031954c-6d326cbb-f081cb38.mp3
Dari,Dari,Er spricht Dari.,Er spricht Dari.,Er spricht __.,,media/azure-91e3dac6-bee3fe44-3f105453-c57b2942-023ca4bb.mp3,media/azure-2ce96ae9-6e0e9e44-c18dcb95-37abbb7c-9369dd1b.mp3
Polnisch,Polish,Sie spricht Polnisch.,Sie spricht Polnisch.,Sie spricht __.,,media/azure-19d56761-9a103ab4-ffc8049b-77e09811-be3158b0.mp3,media/azure-2a4008e3-16f19ef7-2071b863-cd7e0d74-5becd18f.mp3
Spanisch,Spanish,Wir sprechen Spanisch.,Wir sprechen Spanisch.,Wir sprechen __.,,media/azure-4cc03545-ef746e13-c00740d1-4bab98ed-8ac3d628.mp3,media/azure-0083c137-cb1c9152-c53524a4-3bf7c9ba-0d39ed59.mp3
Italienisch,Italian,Er spricht Italienisch.,Er spricht Italienisch.,Er spricht __.,,media/azure-748a969e-690e1cbf-1a06c960-34c9cc63-91f90f57.mp3,media/azure-44357e3c-1b167ccc-93b0f3be-25b0edbd-f50d8037.mp3
Russisch,Russian,Wir lernen Russisch.,Wir lernen Russisch.,Wir lernen __.,,media/azure-2b01de65-8ac4984f-63775cdc-89149544-533876f3.mp3,media/azure-ba07fb19-2d30da10-e2afc346-08f84d37-4d573782.mp3
Arabisch,Arabic,Sie spricht Arabisch.,Sie spricht Arabisch.,Sie spricht __.,,media/azure-ef78a52c-74b97c80-ef022b21-1310def9-822e533a.mp3,media/azure-58728515-e0f11581-396f47dd-59992699-fc17aadc.mp3
Paschtu,Pashto,Ich lerne Paschtu.,Ich lerne Paschtu.,Ich lerne __.,,media/azure-e4342cb7-afb0dab3-d4e9a7b6-16dcc648-a0953005.mp3,media/azure-2af542a4-02f6330f-ba23b62b-75d72008-0ed20691.mp3
ein bisschen,a little,Ich spreche ein bisschen Deutsch.,Ich spreche ein bisschen Deutsch.,Ich spreche __ Deutsch.,,media/azure-b7569c7a-6da2b30c-ab28ba18-11d66da7-0b1523bf.mp3,media/azure-e786f3c1-26a4a30e-c5b66117-f8081f54-685fdf37.mp3
ja / nein,yes / no,"Ja, ich habe Zeit.","Ja, ich habe Zeit.","__, ich habe Zeit.",,media/azure-d1b2936e-6453e99f-aafe05e1-421b9092-3a631e14.mp3,media/azure-589191fc-1d53bd2c-e585a589-8d7f7447-e888a5fe.mp3
Hallo,Hello,"Hallo, wie geht&#x27;s?","Hallo, wie geht&#x27;s?","__, wie geht&#x27;s?",,media/azure-4f7b8973-b0612f78-4fc8f60b-42131431-01738839.mp3,media/azure-a8376722-61075f4e-03bf0491-2aa0c7cf-e179483b.mp3
Tschüss,Bye,"Tschüss, bis bald!","Tschüss, bis bald!","__, bis bald!",,media/azure-75be7bf9-6588543a-89d9ada2-d665d62c-f5178acf.mp3,media/azure-c5ea299d-805d824d-aaefa121-1d5f9ac1-eefdcf95.mp3
"die Familie, die Familien","family, families",Meine Familie ist sehr groß.,Meine Familie ist sehr groß.,Meine __ ist sehr groß.,,media/azure-edaf43a3-4e33e312-41cc01e1-5bbc9367-5652a9bd.mp3,media/azure-680a29c0-1eabf6d4-1389309b-8ad04920-45a4799c.mp3
"das Kind, die Kinder","child, children",Das Kind spielt im Garten.,Das Kind spielt im Garten.,__ spielt im Garten.,,media/azure-153bb002-bf5241ee-5162ca18-e81bfa51-dfbf74cc.mp3,media/azure-eb30881a-cb85fb1b-0d6ef3be-eabc38a5-0473d837.mp3
haben,to have,Wir haben einen Hund.,Wir haben einen Hund.,Wir __ einen Hund.,,media/azure-1d0b8107-583de6d7-9535fdf9-f0412cf1-5ed5d0d6.mp3,media/azure-99bc6563-1ec898fd-b22efa16-c10d645a-7e0ef266.mp3
wir,we,Wir gehen ins Kino.,Wir gehen ins Kino.,__ gehen ins Kino.,,media/azure-82b40b57-6d560d67-537f59c3-4a6409ea-e8c1857c.mp3,media/azure-d463e9c3-949c72a1-149470bc-bc68b11f-635e98d6.mp3
ihr,you (plural),Ihr seid sehr nett.,Ihr seid sehr nett.,__ seid sehr nett.,,media/azure-eee29eba-a6094a31-1247732f-f8644463-d201e788.mp3,media/azure-1531140f-df7a62de-b70e26b7-c10dbaa4-c41e23e2.mp3
er,he,Er ist mein Bruder.,Er ist mein Bruder.,__ ist mein Bruder.,,media/azure-04cdb221-2979bc40-970e06ce-682423d4-6e54717e.mp3,media/azure-9bf8adb3-1e9c8c5f-fbd4daf4-e577e3eb-7be6c765.mp3
sie,she / they,Sie ist meine Freundin.,Sie ist meine Freundin.,__ ist meine Freundin.,,media/azure-fac982ae-88590ab2-41979cb8-57efa242-5441cf19.mp3,media/azure-76320b83-6cf966b8-c3e0d5ae-9a4b0419-f3aaae8a.mp3
sein (ich bin; du bist; er/sie/es ist; Sie sind),to be (I am; you are; he/she/it is; you are),Ich bin müde.,Ich bin müde.,__ müde.,,media/azure-d1efcc22-4799513c-9c64bd88-52f49778-48345b76.mp3,media/azure-596738ec-790f29fe-3002daff-7cdd761c-834726b2.mp3
"der Mann, die Männer","man, men",Der Mann liest ein Buch.,Der Mann liest ein Buch.,__ liest ein Buch.,,media/azure-8cf6be3e-df9d7e31-c48eaa9b-e46e37bc-f0ff2c8f.mp3,media/azure-ac082a03-60ae1388-613070dd-f66deea2-7afacaf9.mp3
"die Frau, die Frauen","woman, women",Die Frau trägt einen roten Hut.,Die Frau trägt einen roten Hut.,__ trägt einen roten Hut.,,media/azure-5ab52b4b-b9a46966-74dd7aaf-44b117b1-f4d5872b.mp3,media/azure-437c3c98-36f9675a-920c8333-f0fdd594-6ba908d4.mp3
"der Sohn, die Söhne","son, sons",Der Sohn spielt Fußball.,Der Sohn spielt Fußball.,__ spielt Fußball.,,media/azure-b2dbcacc-9226c816-9c61efc5-aa314adc-966381c3.mp3,media/azure-c26adff8-7bb85297-6032fb1b-6f032e20-826380e2.mp3
"die Tochter, die Töchter","daughter, daughters",Die Tochter malt ein Bild.,Die Tochter malt ein Bild.,__ malt ein Bild.,,media/azure-295788a0-becd8f6a-e0b33832-55b23328-2200aee9.mp3,media/azure-bbcb6d7b-5347ce5f-618f9a22-5021da36-378d0c3e.mp3
die Eltern,parents,Meine Eltern sind sehr nett.,Meine Eltern sind sehr nett.,Meine __ sind sehr nett.,,media/azure-e1aa9b76-e494d325-9f8698af-34dad66e-48297f3f.mp3,media/azure-29e9ab2e-a3d52fdd-bf87fcbe-0bcc5183-2c488c3c.mp3
"der Vater, die Väter","father, fathers",Der Vater spielt mit dem Kind.,Der Vater spielt mit dem Kind.,__ spielt mit dem Kind.,,media/azure-87541b4b-f02255a4-fbe5883b-73979aec-f0ee7be4.mp3,media/azure-67492436-cd50b2ea-24108efa-0f285a08-fafbf749.mp3
"die Mutter, die Mütter","mother, mothers",Die Mutter kocht das Abendessen.,Die Mutter kocht das Abendessen.,__ kocht das Abendessen.,,media/azure-6ba893da-baedd363-abd27f90-b6083544-5cccf35a.mp3,media/azure-d31f0d1c-7ae8f7ba-6a4956ad-5000853b-e972761b.mp3
"die Schwester, die Schwestern","sister, sisters",Meine Schwester ist älter als ich.,Meine Schwester ist älter als ich.,Meine __ ist älter als ich.,,media/azure-1a4382db-f008ad6d-8e7bf6d4-7dba42a6-880016fd.mp3,media/azure-0143fc78-e7a78e4f-acbb4790-8d65fbc1-f2e7644d.mp3
"der Bruder, die Brüder","brother, brothers",Mein Bruder ist sehr sportlich.,Mein Bruder ist sehr sportlich.,Mein __ ist sehr sportlich.,,media/azure-108e5b8b-6a4c6550-ac118b8d-1c84ad04-a146d408.mp3,media/azure-2c06494b-bc679cf3-8352ddf2-39b18b74-5d708fec.mp3
"mein, meine",my,Mein Hund ist klein.,Mein Hund ist klein.,__ Hund ist klein.,,media/azure-c57d78d7-f26c9638-e1663108-f54a6381-7d6ce184.mp3,media/azure-2f51b0ac-b657a526-c958a414-e40bc3df-abe429ff.mp3
"dein, deine",your (informal),Dein Auto ist neu.,Dein Auto ist neu.,__ Auto ist neu.,,media/azure-50f39413-a14d6986-48e578ef-937629e1-db321c58.mp3,media/azure-827d7c37-aa04ae98-7c697088-86433439-a9e35d3e.mp3
"Ihr, Ihre",your (formal),Ihre Tasche ist schön.,Ihre Tasche ist schön.,__ Tasche ist schön.,,media/azure-68b2f417-4152fa2a-86b3575f-4f4bbabd-c6cb9b74.mp3,media/azure-f62a3771-328275ae-b8a6da4d-100927e2-d961ffb9.mp3
verheiratet,married,Sie ist verheiratet.,Sie ist verheiratet.,Sie ist __.,,media/azure-5c83f20d-dd04e1f1-7a96919d-83de1415-29662c0b.mp3,media/azure-fae748db-4f77fb08-bc1b5e4b-c86781b0-118e6478.mp3
ledig,single,Er ist noch ledig.,Er ist noch ledig.,Er ist noch __.,,media/azure-35891c09-53f536cf-32dfdab1-b0799b4d-8d4f6817.mp3,media/azure-45b66652-b5111747-2e4aeec6-5ea3137e-90f7222c.mp3
eins,one,Ich habe eins gemacht.,Ich habe eins gemacht.,Ich habe __ gemacht.,,media/azure-85030163-ebc1200c-bc1bdf21-c176952c-efb7b434.mp3,media/azure-a72a4e33-973e9079-19f15301-725ca32d-7d847b24.mp3
zwei,two,Wir haben zwei Katzen.,Wir haben zwei Katzen.,Wir haben __ Katzen.,,media/azure-616bbaa1-10a1a91d-c896d005-746eeb86-9c0475a2.mp3,media/azure-edf29dc7-92a7b6a3-c9a6a3f8-39d80342-aee003d8.mp3
drei,three,Ich habe drei Bücher gekauft.,Ich habe drei Bücher gekauft.,Ich habe __ Bücher gekauft.,,media/azure-7d5af8d0-c13c245c-fb9a93b4-d78d6510-d86eb696.mp3,media/azure-696fb19b-76b446c4-ade8d66d-6bb2b66e-0e16f3a5.mp3
vier,four,Der Tisch hat vier Beine.,Der Tisch hat vier Beine.,Der Tisch hat __ Beine.,,media/azure-c97bec03-621f1f57-cfdf2f2b-1624d7e1-d736010a.mp3,media/azure-85e8369b-d3290e7f-d199dab5-faa609ba-5a654592.mp3
fünf,five,Wir haben fünf Freunde.,Wir haben fünf Freunde.,Wir haben __ Freunde.,,media/azure-194dc116-748ccdb0-bc1d89f5-8c27f52f-a18e87f1.mp3,media/azure-061660e8-feca7cd2-f5e71004-dd16bb43-e89a2e46.mp3
sechs,six,Ich habe sechs Äpfel.,Ich habe sechs Äpfel.,Ich habe __ Äpfel.,,media/azure-a7eff004-f2c675e1-f7fdf0c9-d4b62412-829cc9d0.mp3,media/azure-74cc5e7e-0fdb2f14-20065b17-d023ccf4-0f5bd366.mp3
sieben,seven,Der Hund hat sieben Welpen.,Der Hund hat sieben Welpen.,Der Hund hat __ Welpen.,,media/azure-07b2ec55-a89cee34-132d201e-b86d9a08-b71f3fea.mp3,media/azure-26a230a7-6fa4a706-b612b56b-10f61ca9-818d8397.mp3
acht,eight,Sie hat acht Bücher.,Sie hat acht Bücher.,Sie hat __ Bücher.,,media/azure-82cebbbc-65a6c813-286b269c-69bc5fcf-a603439e.mp3,media/azure-d8766fbf-82d41f56-729de6f4-7c0cad32-74677be0.mp3
neun,nine,Wir haben neun Stühle.,Wir haben neun Stühle.,Wir haben __ Stühle.,,media/azure-16a03f8e-28a26373-cd3d082d-ca2d5f3c-58dd4a9b.mp3,media/azure-e25c35d0-abad640b-28d8491d-93a76174-fed1b975.mp3
zehn,ten,Ich habe zehn Freunde.,Ich habe zehn Freunde.,Ich habe __ Freunde.,,media/azure-c6d8028b-1993f1b9-875dc7ce-a2445044-ab6d4903.mp3,media/azure-9f7c6bb1-aa1ff7ab-80be2984-357f665c-d4b59cec.mp3
elf,eleven,Der Film dauert elf Stunden.,Der Film dauert elf Stunden.,Der Film dauert __ Stunden.,,media/azure-aefe4f6b-0f7e04c3-f74828b4-6ac96821-de140cff.mp3,media/azure-08d59679-285c754e-8b1efbd1-4786dcb7-7aadad59.mp3
zwölf,twelve,Ich habe zwölf Buntstifte.,Ich habe zwölf Buntstifte.,Ich habe __ Buntstifte.,,media/azure-efb5a4ff-bbd11899-0e420be8-21527815-78a55756.mp3,media/azure-553069af-37ee6834-eb7617ce-cf3ad15d-6474f24a.mp3
sechzehn,sixteen,Sie wird sechzehn Jahre alt.,Sie wird sechzehn Jahre alt.,Sie wird __ Jahre alt.,,media/azure-ba4d3f77-a10d22e2-a1509362-06328fc0-89cec020.mp3,media/azure-90aac3d3-84bdd7e5-ae9f2154-de56719d-1eee210e.mp3
siebzehn,seventeen,Der Junge ist siebzehn Jahre alt.,Der Junge ist siebzehn Jahre alt.,Der Junge ist __ Jahre alt.,,media/azure-6c7f16cb-d83333b0-3846849a-73bd1c83-e6af2bb1.mp3,media/azure-99cdc6c9-27607cf2-b1bd09ac-3910ca82-a16de66c.mp3
zwanzig,twenty,Ich habe zwanzig Euro.,Ich habe zwanzig Euro.,Ich habe __ Euro.,,media/azure-bf2b8767-c8ef94c4-6c6dc7c1-23d2f486-f2060006.mp3,media/azure-f2ada838-aac4d444-61b54296-3ffccdfa-ae23a53a.mp3
wohnen (in),to live (in),Ich wohne in Berlin.,Ich wohne in Berlin.,Ich __ in Berlin.,,media/azure-6c0bb1d7-fb442440-44f42522-dd5c51af-4aa7ed19.mp3,media/azure-94385620-426bf1b2-a273cc7d-5503f19e-3a528fdc.mp3
geschieden,divorced,Meine Eltern sind geschieden.,Meine Eltern sind geschieden.,Meine Eltern sind __.,,media/azure-3c04a2f7-296f0946-2de9832f-9c2d51f9-45daeb85.mp3,media/azure-a5017bea-17b2c24c-2eaf3c41-18d8d10e-fc6c7fd6.mp3
"der Vorname, die Vornamen","first name, first names",Mein Vorname ist Peter.,Mein Vorname ist Peter.,Mein __ ist Peter.,,media/azure-ca512a5e-7e747811-589f6606-589644c4-7bcd112a.mp3,media/azure-6bb17b7d-7935bc29-37c84596-ae62c611-670c7931.mp3
"Großmutter (Oma), die Großmütter","grandmother (grandma), grandmothers",Meine Großmutter lebt in Hamburg.,Meine Großmutter lebt in Hamburg.,Meine __ lebt in Hamburg.,,media/azure-dd6e7060-1da6bcf8-fb9ed1b2-d884d6ed-aa1c88f2.mp3,media/azure-85cb8153-36740503-427b94bd-cc3c446b-41456bb5.mp3
"der Großvater (Opa), die Großväter (Opas)","grandfather (grandpa), grandfathers (grandpas)",Mein Großvater liest Zeitung.,Mein Großvater liest Zeitung.,Mein __ liest Zeitung.,,media/azure-790828bc-f9c13179-3a9d00f9-68f75ce8-9af41d4c.mp3,media/azure-855bb86f-038e7304-f7f09307-c7aa557d-c1739870.mp3
"die Tante, die Tanten","aunt, aunts",Meine Tante wohnt in der Nähe.,Meine Tante wohnt in der Nähe.,Meine __ wohnt in der Nähe.,,media/azure-71b1ae64-aa2bff24-7d5d84c9-25471c13-0b9c9436.mp3,media/azure-13c8d5a0-eece16b0-2aaa52b2-5933803b-98a9d113.mp3
"der Onkel, die Onkel","uncle, uncles",Der Onkel spielt mit den Kindern.,Der Onkel spielt mit den Kindern.,__ spielt mit den Kindern.,,media/azure-fc48e929-fd8bc5f5-1f8a22f5-eb7af938-001ed331.mp3,media/azure-566d0141-a7c268bd-daf2b873-d103ca59-613d6dbe.mp3
"der Cousin, die Cousins","cousin (male), cousins (male)",Mein Cousin ist sehr sportlich.,Mein Cousin ist sehr sportlich.,Mein __ ist sehr sportlich.,,media/azure-2adaa9a1-432fba3b-2f5377a2-6d3ea596-2941c6d9.mp3,media/azure-e21d3674-33422f94-37e28fc5-d298462c-2d1a062a.mp3
"die Cousine, die Cousinen","cousin (female), cousins (female)",Meine Cousine ist älter als ich.,Meine Cousine ist älter als ich.,Meine __ ist älter als ich.,,media/azure-de777cb6-9c9f998a-c247ef24-9193520c-84272355.mp3,media/azure-d4ce4b15-97951421-bd0bafa1-a72c9a94-9d6252ac.mp3
"der Familienname, die Familiennamen","last name, last names",Mein Familienname ist Müller.,Mein Familienname ist Müller.,Mein __ ist Müller.,,media/azure-54136ceb-dc1c7c62-151d1c2e-4ab347e8-ae54187b.mp3,media/azure-1d1b4ecc-8ff20d0f-c0e1fb7e-e4f5d934-1899024a.mp3
"Nachname, die Nachnamen","surname, surnames",Ihr Nachname ist Schmidt.,Ihr Nachname ist Schmidt.,Ihr __ ist Schmidt.,,media/azure-4344f10b-6691f536-cb77bdd4-79ed4e07-00a1250a.mp3,media/azure-f8ea8244-85acfdab-4a301f73-a0b7516e-63510791.mp3
der Familienstand,marital status,Mein Familienstand ist verheiratet.,Mein Familienstand ist verheiratet.,Mein __ ist verheiratet.,,media/azure-5404ce76-b4fc3a75-64d03ca5-e712b140-054834ba.mp3,media/azure-13824d46-6415d891-28874e34-51f046a5-9afbe9a1.mp3
"die Straße, die Straßen","street, streets",Ich wohne in der Hauptstraße.,Ich wohne in der Hauptstraße.,Ich wohne in __ Haupt__.,,media/azure-8f52a076-5757144f-4ce3ed5b-6e1cd195-1964d480.mp3,media/azure-9ef118d3-18128376-fdc9441e-0540c58a-5e0fb8bb.mp3
"die Hausnummer, die Hausnummern","house number, house numbers",Meine Hausnummer ist 15.,Meine Hausnummer ist 15.,Meine __ ist 15.,,media/azure-754a3a20-fdbb45ad-cdb82af8-944dcca0-32d43115.mp3,media/azure-1656b907-aab9ac48-5aa56f58-96d2a505-280c97dd.mp3
"die Stadt, die Städte","city, cities",Berlin ist eine große Stadt.,Berlin ist eine große Stadt.,Berlin ist eine große __.,,media/azure-61e48a35-e09c5a1f-31530bff-18401732-dbf87842.mp3,media/azure-bdd25863-8b644410-8d35397e-abd70d63-bd9fcb9b.mp3
"die Postleitzahl (PLZ), die Postleitzahlen","postal code, postal codes",Meine Postleitzahl ist 10115.,Meine Postleitzahl ist 10115.,Meine __ ist 10115.,,media/azure-ca1913e9-7dac9fa8-c0e6a546-f6ef009f-03ab49c0.mp3,media/azure-a9e821d0-399079d1-3c0f0b2c-bac86c36-617d4e79.mp3
